PARADA,HORARIO
PICI,07:00
PICI,08:00
PICI,09:00
PICI,10:00
PICI,11:00
PICI,12:00
PICI,13:00
PICI,14:00
PICI,15:00
PICI,16:00
PICI,17:00
PICI,18:00**
PICI,19:00**
PICI,20:00**
PICI,21:00**
** Vai direto pro Benfica - FACED
